comp_gecodb	comp_lemma	comp_freq	n1_lemma	n1_freq	n1_prod	n1_mass_freq	n2_lemma	n2_freq
gebäck_markt	Gebäckmarkt	37	gebäck	42577	25	2835	markt	2649376
urheber_recht	Urheberrecht	36207	urheber	40645	12	38233	recht	1451399
vorrunde_+n_spiel	Vorrundenspiel	33512	vorrunde	169017	49	78035	spiel	5073662
steigerung_+s_rate	Steigerungsrate	18959	steigerung	248268	22	25059	rate	61351
schwindel_gefühl	Schwindelgefühl	4431	schwindel	33725	18	8263	gefühl	1229430
vorrunde_+n_gruppe	Vorrundengruppe	21156	vorrunde	169017	49	78035	gruppe	2849144
gewohnheit_+s_recht	Gewohnheitsrecht	3722	gewohnheit	63952	14	7567	recht	1451399
gewohnheit_+s_tier	Gewohnheitstier	2340	gewohnheit	63952	14	7567	tier	3094177
schwindel_anfall	Schwindelanfall	1451	schwindel	33725	18	8263	anfall	26223
schwindel_freiheit	Schwindelfreiheit	1281	schwindel	33725	18	8263	freiheit	780583
urheber_gesetz	Urhebergesetz	440	urheber	40645	12	38233	gesetz	1456035
urheber_schutz	Urheberschutz	1043	urheber	40645	12	38233	schutz	817033
gewohnheit_+s_sache	Gewohnheitssache	415	gewohnheit	63952	14	7567	sache	2343509
steigerung_+s_form	Steigerungsform	969	steigerung	248268	22	25059	form	1609109
karotte_+n_saft	Karottensaft	471	karotte	22625	19	2411	saft	102873
kieme_+n_deckel	Kiemendeckel	149	kieme	3376	12	567	deckel	71195
vorrunde_+n_turnier	Vorrundenturnier	4870	vorrunde	169017	49	78035	turnier	843410
steigerung_+s_möglichkeit	Steigerungsmöglichkeit	1728	steigerung	248268	22	25059	möglichkeit	2735995
schwindel_attacke	Schwindelattacke	436	schwindel	33725	18	8263	attacke	237446
einfahrt_+s_tor	Einfahrtstor	710	einfahrt	74388	27	3507	tor	2889790
steigerung_+s_lauf	Steigerungslauf	823	steigerung	248268	22	25059	lauf	964220
steigerung_+s_potential	Steigerungspotential	373	steigerung	248268	22	25059	potential	57573
steigerung_+s_satz	Steigerungssatz	386	steigerung	248268	22	25059	satz	1265347
pappel_holz	Pappelholz	1098	pappel	27165	25	8084	holz	700022
araber_stute	Araberstute	183	araber	68990	16	2151	stute	39099
pastor_+en_tochter	Pastorentochter	1257	pastor	204397	28	5697	tochter	1531948
mediziner_ausbildung	Medizinerausbildung	1073	mediziner	273039	30	3464	ausbildung	1159809
vorrunde_+n_kampf	Vorrundenkampf	1353	vorrunde	169017	49	78035	kampf	1498238
bast_matte	Bastmatte	755	bast	17588	23	7421	matte	94559
araber_hengst	Araberhengst	782	araber	68990	16	2151	hengst	44337
vorrunde_+n_sieg	Vorrundensieg	1995	vorrunde	169017	49	78035	sieg	2453346
bast_horst	Basthorst	4158	bast	17588	23	7421	horst	866206
vorrunde_+n_partie	Vorrundenpartie	3235	vorrunde	169017	49	78035	partie	1630193
vorrunde_+n_niederlage	Vorrundenniederlage	738	vorrunde	169017	49	78035	niederlage	1212078
einfahrt_+s_bereich	Einfahrtsbereich	902	einfahrt	74388	27	3507	bereich	3022379
bast_röckchen	Baströckchen	997	bast	17588	23	7421	röckchen	3557
noppe_+n_spieler	Noppenspieler	66	noppe	2227	14	899	spieler	2292236
urheber_vermerk	Urhebervermerk	38	urheber	40645	12	38233	vermerk	33678
gewohnheit_+s_verbrecher	Gewohnheitsverbrecher	427	gewohnheit	63952	14	7567	verbrecher	66154
kieme_+n_bogen	Kiemenbogen	54	kieme	3376	12	567	bogen	197226
steigerung_+s_faktor	Steigerungsfaktor	104	steigerung	248268	22	25059	faktor	322890
pastor_+en_sohn	Pastorensohn	1097	pastor	204397	28	5697	sohn	1717684
noppe_+n_schaum	Noppenschaum	30	noppe	2227	14	899	schaum	30062
karotte_+n_hose	Karottenhose	396	karotte	22625	19	2411	hose	252218
noppe_+n_belag	Noppenbelag	167	noppe	2227	14	899	belag	45322
noppe_+n_bahn	Noppenbahn	23	noppe	2227	14	899	bahn	1321988
pappel_weg	Pappelweg	1556	pappel	27165	25	8084	weg	5133691
noppe_+n_gummi	Noppengummi	25	noppe	2227	14	899	gummi	23420
araber_pferd	Araberpferd	393	araber	68990	16	2151	pferd	566632
karotte_+n_brei	Karottenbrei	101	karotte	22625	19	2411	brei	25437
steigerung_+s_betrag	Steigerungsbetrag	172	steigerung	248268	22	25059	betrag	417429
pappel_reihe	Pappelreihe	367	pappel	27165	25	8084	reihe	1511072
karotte_+n_suppe	Karottensuppe	249	karotte	22625	19	2411	suppe	108331
bast_faser	Bastfaser	76	bast	17588	23	7421	faser	27776
gewohnheit_+s_trinker	Gewohnheitstrinker	314	gewohnheit	63952	14	7567	trinker	17615
pastor_+en_stelle	Pastorenstelle	863	pastor	204397	28	5697	stelle	1639478
steigerung_+s_stufe	Steigerungsstufe	227	steigerung	248268	22	25059	stufe	292178
gewohnheit_+s_muster	Gewohnheitsmuster	28	gewohnheit	63952	14	7567	muster	174070
bast_korb	Bastkorb	421	bast	17588	23	7421	korb	141538
vorrunde_+n_sieger	Vorrundensieger	1105	vorrunde	169017	49	78035	sieger	652528
kieme_+n_spalte	Kiemenspalte	57	kieme	3376	12	567	spalte	16589
pappel_baum	Pappelbaum	559	pappel	27165	25	8084	baum	1443177
vorrunde_+n_abschluss	Vorrundenabschluss	1558	vorrunde	169017	49	78035	abschluss	1132418
pappel_wald	Pappelwald	145	pappel	27165	25	8084	wald	1102285
urheber_abgabe	Urheberabgabe	165	urheber	40645	12	38233	abgabe	189346
pastor_+en_haus	Pastorenhaus	299	pastor	204397	28	5697	haus	6907268
vorrunde_+n_ergebnis	Vorrundenergebnis	391	vorrunde	169017	49	78035	ergebnis	3082773
schwindel_zustand	Schwindelzustand	54	schwindel	33725	18	8263	zustand	794467
karotte_+n_kuchen	Karottenkuchen	314	karotte	22625	19	2411	kuchen	487855
karotte_+n_scheibe	Karottenscheibe	113	karotte	22625	19	2411	scheibe	308755
einfahrt_+s_straße	Einfahrtsstraße	410	einfahrt	74388	27	3507	straße	5466398
pappel_hof	Pappelhof	342	pappel	27165	25	8084	hof	856771
mediziner_kreis	Medizinerkreis	239	mediziner	273039	30	3464	kreis	2731589
urheber_nennung	Urhebernennung	25	urheber	40645	12	38233	nennung	31396
pappel_art	Pappelart	124	pappel	27165	25	8084	art	2477614
schwindel_beschwerde	Schwindelbeschwerde	34	schwindel	33725	18	8263	beschwerde	328415
noppe_+n_platte	Noppenplatte	131	noppe	2227	14	899	platte	264291
vorrunde_+n_tag	Vorrundentag	273	vorrunde	169017	49	78035	tag	11101971
schwindel_form	Schwindelform	37	schwindel	33725	18	8263	form	1609109
pappel_straße	Pappelstraße	891	pappel	27165	25	8084	straße	5466398
karotte_+n_stück	Karottenstück	93	karotte	22625	19	2411	stück	2330343
einfahrt_straße	Einfahrtstraße	225	einfahrt	74388	27	3507	straße	5466398
araber_wallach	Araberwallach	28	araber	68990	16	2151	wallach	19251
kieme_+n_öffnung	Kiemenöffnung	44	kieme	3376	12	567	öffnung	211336
pastor_+en_amt	Pastorenamt	135	pastor	204397	28	5697	amt	1950704
kieme_+n_atmung	Kiemenatmung	71	kieme	3376	12	567	atmung	20557
vorrunde_+n_platz	Vorrundenplatz	420	vorrunde	169017	49	78035	platz	6219854
urheber_verletzung	Urheberverletzung	22	urheber	40645	12	38233	verletzung	698730
steigerung_+s_zahl	Steigerungszahl	119	steigerung	248268	22	25059	zahl	3730474
einfahrt_+s_höhe	Einfahrtshöhe	122	einfahrt	74388	27	3507	höhe	2197057
